Row,PBstart,PCstart,PDstart,PFstart,PArise,PBrise,PCrise,PDrise,PFrise,PAfall,PBfall,PCfall,PDfall,PFfall,PAwidth,PBwidth,PCwidth,PDwidth,PFwidth,y
16228,6.742e-07,2.839e-05,-2.42e-05,-1.6100000000000002e-05,1.75e-05,2.15e-05,3.631e-05,1.208e-05,1.503e-05,0.0002194,0.0002833,0.0003007,0.00027360000000000004,0.0002918,0.0001874,0.0002392,0.0002693,0.0001669,0.00022669999999999998,-21.034000000000002
21425,-6.2e-06,-1.59e-05,-1.13e-05,-3.01e-05,2.408e-05,2.365e-05,1.552e-05,1.33e-05,9.452e-06,0.00020859999999999997,0.0002005,0.000221,0.0002002,0.0001584,0.00020340000000000004,0.00020469999999999996,0.0002064,0.00014280000000000003,4.088e-05,0.0
71919,-3.78e-06,5.606e-05,-5.26e-06,3.038e-05,1.243e-05,1.667e-05,3.353e-05,1.527e-05,2.814e-05,0.0001902,0.0002658,0.0002783,0.00029019999999999995,0.0002681,0.0001238,0.00016659999999999998,0.0002419,0.00019969999999999998,0.0002404,-36.116
54317,-2.49e-06,5.977e-05,5.9339999999999994e-06,3.535e-05,1.284e-05,1.844e-05,3.235e-05,1.546e-05,2.531e-05,0.0002052,0.0002699,0.0002544,0.00028710000000000004,0.0002597,0.0001238,0.000162,0.0002403,0.00017790000000000001,0.0002294,-41.01
85728,-3.85e-06,5.266e-05,-5.54e-06,2.818e-05,1.195e-05,1.657e-05,3.614e-05,1.476e-05,2.787e-05,0.0001837,0.0002446,0.0002912,0.00026869999999999997,0.0002661,0.00012009999999999998,0.0001764,0.00024260000000000002,0.0001937,0.00023040000000000002,-36.116
102633,-7.11e-07,-1.68e-06,-1.7800000000000002e-05,-2.9199999999999998e-05,1.851e-05,2.198e-05,3.474e-05,9.724e-06,8.535e-06,0.0002064,0.0002227,0.00023439999999999998,0.00020209999999999998,0.00019280000000000002,0.00019969999999999998,0.00020590000000000002,0.0002286,8.353e-05,7.102e-05,-9.988
115252,1.282e-06,1.946e-05,-2.84e-05,-2.4299999999999998e-05,1.847e-05,2.141e-05,3.527e-05,1.132e-05,1.328e-05,0.0002176,0.00027,0.0003217,0.0002728,0.0002747,0.0001974,0.0002447,0.0002812,0.0001629,0.00021309999999999998,-21.034000000000002
66805,-1.6e-05,-1.4599999999999999e-05,-1.4599999999999999e-05,-3.0299999999999998e-05,2.316e-05,1.582e-05,1.835e-05,1.302e-05,8.88e-06,0.00021099999999999998,0.0002029,0.00022810000000000001,0.0002101,0.00017930000000000002,0.00019580000000000002,0.0001981,0.00021840000000000002,4.581e-05,6.042e-05,-3.969
143780,5.445e-07,1.03e-06,-1.7899999999999998e-05,-2.98e-05,1.945e-05,2.157e-05,3.043e-05,9.936e-06,8.483e-06,0.0002185,0.00022519999999999997,0.0002492,0.0002029,0.0001933,0.00018899999999999999,0.00020540000000000003,0.00021779999999999998,0.0001119,8.22e-05,-9.988
74484,5.844e-07,2.04e-06,-1.6800000000000002e-05,-2.95e-05,1.884e-05,2.237e-05,3.2e-05,9.831e-06,8.45e-06,0.0001985,0.0002299,0.0002367,0.0002097,0.00018449999999999999,0.000192,0.000207,0.0002298,0.0001139,7.7e-05,-9.988
