Row,PBstart,PCstart,PDstart,PFstart,PArise,PBrise,PCrise,PDrise,PFrise,PAfall,PBfall,PCfall,PDfall,PFfall,PAwidth,PBwidth,PCwidth,PDwidth,PFwidth,y
1780,-7.14e-06,5.546e-05,4.091e-07,3.608e-05,1.028e-05,1.586e-05,3.656e-05,1.478e-05,2.802e-05,0.0001965,0.0002482,0.0002637,0.0002666,0.0002790,0.0001007,0.0001647,0.0002380,0.0001590,0.0002262,-41.9
1982,-6.19e-06,5.518e-05,1.451e-06,3.406e-05,9.904e-06,1.415e-05,3.177e-05,1.343e-05,2.742e-05,0.0001991,0.0002305,0.0002637,0.0002537,0.0002711,9.241e-05,0.0001652,0.0002526,0.0001420,0.0002253,-41.9
2178,-4.63e-06,5.614e-05,4.625e-06,3.437e-05,9.650e-06,1.252e-05,3.039e-05,1.220e-05,2.384e-05,0.0002018,0.0002412,0.0002768,0.0002478,0.0002669,8.863e-05,0.0001559,0.0002476,0.0001250,0.0002216,-41.9
2261,-1.66e-07,5.548e-05,1.008e-05,3.755e-05,8.464e-06,1.238e-05,3.169e-05,1.288e-05,2.341e-05,0.0002070,0.0002425,0.0002790,0.0002510,0.0002820,9.157e-05,0.0001713,0.0002395,0.0001405,0.0002141,-41.9
2735,-5.99e-06,5.620e-05,3.308e-06,3.466e-05,9.352e-06,1.230e-05,3.120e-05,1.198e-05,2.343e-05,0.0001964,0.0002292,0.0002560,0.0002370,0.0002709,8.478e-05,0.0001371,0.0002374,0.0001167,0.0002129,-41.9
2760,-7.21e-06,5.636e-05,-3.93e-07,3.237e-05,9.997e-06,1.500e-05,3.018e-05,1.322e-05,2.595e-05,0.0002067,0.0002514,0.0002826,0.0002432,0.0002562,9.629e-05,0.0001752,0.0002557,0.0001421,0.0002198,-41.9
3168,-5.50e-06,5.726e-05,3.321e-06,3.424e-05,9.817e-06,1.304e-05,3.228e-05,1.289e-05,2.567e-05,0.0002041,0.0002500,0.0002916,0.0002434,0.0002823,8.795e-05,0.0001601,0.0002523,0.0001298,0.0002304,-41.9
3517,-7.56e-06,5.414e-05,-4.13e-07,3.270e-05,9.701e-06,1.392e-05,3.284e-05,1.280e-05,2.504e-05,0.0002037,0.0002377,0.0002695,0.0002440,0.0002714,9.012e-05,0.0001560,0.0002349,0.0001324,0.0002246,-41.9
4091,-5.23e-06,5.865e-05,4.556e-06,3.914e-05,1.010e-05,1.433e-05,3.263e-05,1.457e-05,2.612e-05,0.0001977,0.0002647,0.0002483,0.0002547,0.0002679,9.898e-05,0.0001526,0.0002510,0.0001495,0.0002240,-41.9
4249,-7.13e-06,5.472e-05,5.942e-07,3.304e-05,9.609e-06,1.380e-05,3.416e-05,1.263e-05,2.589e-05,0.0002087,0.0002523,0.0003053,0.0002443,0.0002731,8.729e-05,0.0001605,0.0002432,0.0001330,0.0002297,-41.9
5124,-4.44e-06,5.576e-05,4.926e-06,3.713e-05,1.004e-05,1.430e-05,3.509e-05,1.350e-05,2.483e-05,0.0002047,0.0002409,0.0003123,0.0002465,0.0002707,0.0001003,0.0001620,0.0002335,0.0001403,0.0002205,-41.9
5316,-6.51e-06,5.470e-05,2.499e-06,3.637e-05,9.695e-06,1.382e-05,3.576e-05,1.375e-05,2.786e-05,0.0001995,0.0002369,0.0002831,0.0002490,0.0002527,9.330e-05,0.0001509,0.0002354,0.0001407,0.0002165,-41.9
5510,-3.92e-06,5.552e-05,5.873e-06,3.978e-05,1.051e-05,1.456e-05,3.508e-05,1.513e-05,2.747e-05,0.0001856,0.0002276,0.0002305,0.0002580,0.0002580,0.0001038,0.0001563,0.0002456,0.0001564,0.0002331,-41.9
5660,-5.23e-06,5.425e-05,4.170e-06,3.501e-05,9.802e-06,1.413e-05,3.592e-05,1.294e-05,2.547e-05,0.0002080,0.0002454,0.0003226,0.0002515,0.0002802,8.916e-05,0.0001653,0.0002441,0.0001318,0.0002231,-41.9
6764,-6.19e-06,5.901e-05,2.583e-06,3.692e-05,9.851e-06,1.474e-05,2.993e-05,1.453e-05,2.794e-05,0.0002098,0.0002407,0.0002557,0.0002549,0.0002625,9.676e-05,0.0001652,0.0002421,0.0001532,0.0002295,-41.9
10006,-6.76e-06,5.694e-05,2.563e-06,3.485e-05,9.410e-06,1.275e-05,2.917e-05,1.222e-05,2.260e-05,0.0002062,0.0002364,0.0002817,0.0002373,0.0002658,8.392e-05,0.0001564,0.0002555,0.0001236,0.0002192,-41.9
10019,-6.79e-06,5.789e-05,2.421e-06,3.245e-05,9.420e-06,1.304e-05,2.795e-05,1.220e-05,2.592e-05,0.0002058,0.0002225,0.0002388,0.0002385,0.0002346,8.568e-05,0.0001517,0.0002593,0.0001234,0.0002239,-41.9
10274,-6.12e-06,5.889e-05,2.309e-06,3.557e-05,1.016e-05,1.399e-05,2.811e-05,1.345e-05,2.581e-05,0.0002102,0.0002541,0.0003084,0.0002575,0.0002976,9.997e-05,0.0001577,0.0002569,0.0001453,0.0002315,-41.9
10282,2.482e-06,5.095e-05,1.766e-05,2.993e-05,1.151e-05,1.864e-05,2.854e-05,1.703e-05,2.287e-05,0.0002011,0.0002496,0.0002703,0.0002405,0.0002838,0.0001070,0.0001741,0.0002481,0.0001914,0.0002197,-41.9
10858,-5.99e-06,5.544e-05,3.360e-06,3.495e-05,9.559e-06,1.229e-05,3.433e-05,1.220e-05,2.329e-05,0.0002018,0.0002476,0.0002856,0.0002371,0.0002595,8.684e-05,0.0001489,0.0002347,0.0001209,0.0002107,-41.9
11376,-5.17e-06,5.401e-05,4.278e-06,3.439e-05,9.929e-06,1.366e-05,3.264e-05,1.269e-05,2.435e-05,0.0002077,0.0002425,0.0003071,0.0002489,0.0002748,9.718e-05,0.0001565,0.0002507,0.0001308,0.0002230,-41.9
12804,-3.12e-06,5.148e-05,1.026e-05,3.915e-05,1.111e-05,1.056e-05,3.294e-05,1.362e-05,2.503e-05,0.0001866,0.0002433,0.0002286,0.0002413,0.0002336,0.0001052,9.554e-05,0.0002481,0.0001431,0.0002189,-41.9
13126,-5.49e-06,5.532e-05,3.896e-06,3.505e-05,9.807e-06,1.319e-05,3.268e-05,1.297e-05,2.701e-05,0.0002031,0.0002421,0.0002628,0.0002544,0.0002800,9.395e-05,0.0001523,0.0002648,0.0001357,0.0002137,-41.9
13643,-5.38e-06,6.071e-05,4.276e-06,3.815e-05,1.033e-05,1.432e-05,2.842e-05,1.465e-05,2.731e-05,0.0001940,0.0002507,0.0003067,0.0002682,0.0002656,0.0001008,0.0001520,0.0002389,0.0001540,0.0002311,-41.9
13859,-4.09e-06,5.685e-05,5.830e-06,3.780e-05,1.018e-05,1.364e-05,2.921e-05,1.341e-05,2.553e-05,0.0002028,0.0002360,0.0002424,0.0002526,0.0002786,9.913e-05,0.0001590,0.0002616,0.0001398,0.0002272,-41.9
14123,-5.46e-06,5.818e-05,4.662e-06,3.893e-05,9.996e-06,1.485e-05,3.244e-05,1.508e-05,2.739e-05,0.0002070,0.0002612,0.0002814,0.0002632,0.0002645,9.633e-05,0.0001687,0.0002395,0.0001532,0.0002251,-41.9
16229,-4.82e-06,5.693e-05,4.832e-06,3.445e-05,9.624e-06,1.286e-05,3.069e-05,1.257e-05,2.541e-05,0.0002049,0.0002269,0.0003137,0.0002405,0.0002968,8.637e-05,0.0001603,0.0002394,0.0001248,0.0002208,-41.9
16889,-4.52e-06,5.720e-05,5.736e-06,3.857e-05,1.044e-05,1.431e-05,2.913e-05,1.419e-05,2.633e-05,0.0002048,0.0002511,0.0002686,0.0002550,0.0002802,0.0001007,0.0001510,0.0002666,0.0001530,0.0002231,-41.9
16951,4.957e-06,5.447e-05,1.156e-05,3.775e-05,1.107e-05,1.566e-05,3.019e-05,1.387e-05,2.495e-05,0.0002108,0.0002504,0.0002845,0.0002564,0.0002809,0.0001084,0.0001831,0.0002519,0.0001595,0.0002208,-41.9
17218,-4.45e-06,5.729e-05,5.416e-06,3.677e-05,9.826e-06,1.326e-05,3.300e-05,1.308e-05,2.506e-05,0.0002082,0.0002393,0.0003005,0.0002424,0.0002815,9.119e-05,0.0001527,0.0002368,0.0001335,0.0002220,-41.9
